Id,Label,mergenode,businesstable
36,KEYWORD_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
37,HERITAGE_RESOURCE_GROUP_TYPE.E55,PRODUCTION.E12,domains
38,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
39,PLACE_SITE_LOCATION.E53,PLACE.E53,
40,TYPE_OF_DESIGNATION_OR_PROTECTION.E55,RIGHT.E30,domains
41,KEYWORD.E55,HISTORIC_DISTRICT.E27,domains
44,PLACE_CADASTRAL_REFERENCE.E53,PLACE.E53,
45,RIGHT.E30,HISTORIC_DISTRICT.E27,strings
47,TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,RIGHT.E30,
48,EXTERNAL_XREF.E42,HISTORIC_DISTRICT.E27,strings
52,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,domains
55,CULTURAL_PERIOD.E55,PRODUCTION.E12,domains
57,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
58,TO_DATE.E49,PRODUCTION.E12,dates
59,FROM_DATE.E49,PRODUCTION.E12,dates
60,PLACE_THIS_LAND_PARCEL.E53,PLACE.E53,
62,HERITAGE_RESOURCE_GROUP.E27,HISTORIC_DISTRICT.E27,
64,PLACE.E53,HISTORIC_DISTRICT.E27,
65,PLACE_APPELLATION_CADASTRAL_REFERENCE.E44,PLACE.E53,strings
67,NAME_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
69,PROTECTION_EVENT.E65,RIGHT.E30,
70,EXTERNAL_RESOURCE.E1,HISTORIC_DISTRICT.E27,
71,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
72,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,domains
84,EVALUATION_CRITERIA_ASSIGNMENT.E13,HISTORIC_DISTRICT.E27,
85,EVALUATION_CRITERIA_TYPE.E55,HISTORIC_DISTRICT.E27,domains
90,HERITAGE_RESOURCE_GROUP_USE_TYPE.E55,PRODUCTION.E12,domains
91,USE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,domains
92,ANCILLARY_FEATURE.E55,PRODUCTION.E12,domains
93,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,domains
94,DESCRIPTION.E62,HISTORIC_DISTRICT.E27,strings
95,RESOURCE_TYPE_CLASSIFICATION.E55,HISTORIC_DISTRICT.E27,domains
96,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
97,INTEGRITY_TYPE.E55,HISTORIC_DISTRICT.E27,domains
98,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
457,DISTURBANCE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
458,THREAT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
459,MANAGEMENT_RECOMMENDATION.E89,CONDITION_ASSESSMENT.E14,strings
460,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,domains
461,THREAT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,domains
462,RECOMMENDATION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
463,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,domains
464,DESCRIPTION_TYPE.E55,HISTORIC_DISTRICT.E27,domains
465,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
466,EVALUATION_CRITERIA_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
468,STATUS_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
471,STATUS.E55,HISTORIC_DISTRICT.E27,domains
472,REASONS.E62,HISTORIC_DISTRICT.E27,strings
475,ELIGIBILITY_REQUIREMENT_TYPE.E55,HISTORIC_DISTRICT.E27,domains
476,ELIGIBILITY_REQUIREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
480,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
481,ADDRESS_TYPE.E55,PLACE.E53,domains
482,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,domains
501,BEGINNING_OF_EXISTENCE.E63,HISTORIC_DISTRICT.E27,
502,END_OF_EXISTENCE.E64,HISTORIC_DISTRICT.E27,
503,BEGINNING_OF_EXISTENCE_TYPE.E55,HISTORIC_DISTRICT.E27,domains
504,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,HISTORIC_DISTRICT.E27,
505,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
506,START_DATE_OF_EXISTENCE.E49,HISTORIC_DISTRICT.E27,strings
507,END_OF_EXISTENCE_TYPE.E55,HISTORIC_DISTRICT.E27,domains
508,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_DISTRICT.E27,domains
509,END_OF_EXISTENCE_TIME-SPAN.E52,HISTORIC_DISTRICT.E27,
510,END_DATE_OF_EXISTENCE.E49,HISTORIC_DISTRICT.E27,strings
